"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 09 14:19:31 CST 2021","Fri Jul 09 14:19:31 CST 2021","490","testcase","test_get","Test","","","test_get[all_api1]",""
"passed","Fri Jul 09 14:19:30 CST 2021","Fri Jul 09 14:19:31 CST 2021","496","testcase","test_get","Test","","","test_get[all_api0]",""
